Dimension,Cluster_0_Mean,Cluster_1_Mean,Difference,t_statistic,p_value,Cohens_d
latent_76,0.0027015140624863762,0.04924687387211744,-0.04654535980963106,-3.9372564775602763,8.520083540881517e-05,0.17585091217194423
latent_137,-0.024585346047816075,-0.004528868970412812,-0.020056477077403264,-4.0042835010813365,6.444621586462617e-05,0.17444480311338187
latent_223,0.01654567235900545,0.06712237640667261,-0.05057670404766716,-3.8625330280957226,0.00011573792167375548,0.1738980172590494
latent_53,0.02307239071324387,0.004338758547989146,0.018733632165254723,3.8089637617566523,0.0001437012444970022,0.16967497231181786
latent_238,0.016216995178348775,0.04001051829483096,-0.023793523116482185,-3.812368595352299,0.00014174943259264152,0.16928630307764456
latent_143,0.07970366661541813,0.10631618558708185,-0.026612518971663723,-3.6584783205434763,0.0002601922159704571,0.16381699873499578
latent_62,0.006265211261553133,-0.04274971472370107,0.049014925985254205,3.5992764741089105,0.0003267601642189967,0.16351604680734574
latent_187,0.2148185536755041,0.09426982868131671,0.12054872499418738,3.568512822857777,0.0003673525695617426,0.16346321509901396
latent_29,-0.04846098187939306,-0.06959463342049822,0.021133651541105164,3.7473154817185486,0.00018373347621840943,0.16187131615653924
latent_164,0.13415768607960493,0.15022729735498222,-0.016069611275377288,-3.6077461022830346,0.00031634542011262285,0.1596169966846024
latent_22,0.4885868697238624,0.5742559594348754,-0.085669089711013,-3.3102117873254326,0.0009485916228702702,0.15541599754278254
latent_167,0.03419087106795436,0.010301901909003555,0.023888969158950807,3.4544260455175606,0.0005628009024485765,0.15471591385557665
latent_134,-0.1394171676989782,0.0017207257135231258,-0.14113789341250133,-3.1714618666589334,0.001539410138672785,0.1496134874279552
latent_121,-0.0027395779412377388,0.015260074185949643,-0.017999652127187384,-3.3856179385861327,0.0007237197074467889,0.14729844872419828
latent_242,0.10242123442641009,0.06383098750177936,0.03859024692463073,3.204958991476688,0.001371810710835331,0.1468250433644247
latent_51,0.3837776801923161,0.3053961446017794,0.07838153559053673,3.14464641673518,0.0016869651802574384,0.14365448551309185
latent_173,-0.13686382863410082,-0.1563213992603203,0.019457570626219473,3.278148560233367,0.0010625637198100877,0.14225677004877507
